block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74997718,0x242fe63316c98872f7ef8a5bc82471f2a2669c7cb8bb359dbe80265e469cac37,267,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,632000000
74997751,0x4d2677775b05a1c09394f3db59fac5797b419ff4a0f122b2622afd86fca13cf6,1063,0xd218e474776403a330142299f7796e8ba32eb5c9,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,400000000
74997816,0x630841cad1d04545d94beab510ffc795dbb501f4abfd3a56cf9a14f7bdc2d623,901,0xfd691577dc6a9d21e9611b93ef9177d36738a2e1,0x2c3d7e0eee6f058be3006baabf0d54a07da254ba47fe6e3e095e7990c7814700,64,3000000000
74997882,0x27a7a475708b3f010da69e0c442f413606763f22de3f8d523c53b8a5434ca88c,441,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,79,400000000
74997889,0x7c3c28df12fe1e76bab49f8eb1c3a60f3294848968331cacde450bb113f1ef57,399,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x9ed859f26378d2009832544a15acaad6d350a62f7f2aa5e1201df7fd9a982600,2098175,200994866
74997913,0x3ef7a727ab8d00f99ffa9df90faf07a8439e1dfd639541e9379beb7f1f68d686,495,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x8109e70e7e684a121a99cb1bd435859fd52a267b2b8971831487797bfdb41600,65535,50000000
74997986,0x1b7e1eb64153e796ebd204007628d7be791f0160f4e9a42843e64943525cb764,630,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,91000000
74998039,0xe0d156c7cfbe638e808196e166cd7802f9ff92b399079ebf1134306c81d0c197,211,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0x7943c5b94504f62945d7122d939846cf83fac62a85c44e4be9afd66c2c080600,11300799872962944,5000000
74998119,0x807273f7ed38b3cf73afe61c2808ed41a79b6e758981a3a6c19f77392ee65fc0,473,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0xdd04589f3f48ac08dc54b5ade17d97ad255ed2850778c961f0cf8cbb5a908600,127,100000000
74998217,0x165c0efdefb3080e25f991b922e29b069ea06b87b01bed5cec401a759e66aa0e,392,0xe4cfbb89c05d3429280c69969aee2cfb7a4678c4,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,425000000
